Uretim Dönemi,Uretim Adet,1.ay,2.ay,3.ay,4.ay,5.ay,6.ay,7.ay,8.ay,9.ay,10.ay,11.ay,12.ay,13.ay,14.ay,15.ay,16.ay
2013 Jan,80282,0.1896633,0.9654063,1.6809013,2.0433709,2.3658843,2.6960784,3.0029042,3.3326299,3.6662578,3.8870273,4.3193079,4.6132274,4.9438063,5.179876,5.4240076,5.7392248
2013 Feb,67378,0.6578947,1.3385668,1.6362458,2.1172577,2.4108659,2.8973124,3.2502633,3.5167011,3.7397277,4.1221315,4.3788944,4.6471374,4.926613,5.1587448,5.3892324,5.6819813
2013 Mar,126469,0.5537459,1.4327358,2.375891,2.8923117,3.1464204,3.4304336,3.7805598,4.0788302,4.7780676,5.2613115,5.8015018,6.2757202,6.7401057,7.2006297,7.7165706,8.3340515
2013 Apr,125281,0.6970849,1.0928151,1.5440582,1.9328567,2.3283473,2.6169655,2.8275726,3.2549973,3.6083387,4.048239,4.3706388,4.7696862,5.1163082,5.5675509,6.0944657,6.7025567
2013 May,122771,0.5620316,0.9886816,1.5791973,1.8759501,2.1609839,2.4211745,2.8651543,3.1406736,3.4541103,3.7361816,4.0194686,4.2723375,4.6169792,5.0713691,5.6565921,6.3832953
2013 Jun,88011,0.2115159,0.8278914,1.2756808,1.7053722,1.8950714,2.2304833,2.4266737,2.6499935,2.8379699,3.0585485,3.2394651,3.5031554,3.8516534,4.2105575,4.5922972,4.9676555
2013 Jul,113469,0.1504933,0.6567279,1.0237457,1.266704,1.7715365,1.9967451,2.2792615,2.5196964,2.7279804,2.9367862,3.2314618,3.5458639,4.037129,4.5990742,5.1461299,5.5445999
2013 Aug,67626,0.2838893,0.694746,1.0498316,1.5580443,1.8600049,2.2296783,2.5506446,2.8255775,3.0664395,3.3903596,3.7383927,4.1841248,4.7219862,5.2623804,5.6274068,6.0519096
2013 Sep,113777,0.2157497,0.6191189,1.1958612,1.5984419,1.9966303,2.2900534,2.6012928,2.8429892,3.1467039,3.4088672,3.7386468,4.0895681,4.6255531,4.9751244,5.2579932,5.5432301
2013 Oct,108479,0.4421915,1.1185102,1.4407213,1.920904,2.2643079,2.512126,2.7677999,3.0453101,3.2391925,3.5124046,3.8816961,4.2872936,4.6102423,4.9001574,5.1572147,5.3834106
2013 Nov,79171,0.5533779,0.9457717,1.3637579,1.6481509,1.8378081,2.1519322,2.4143159,2.6011035,2.8526062,3.2118823,3.4927633,3.7713241,4.0255691,4.2681985,4.5073279,4.6684926
2013 Dec,59312,0.2085506,1.138857,1.6406947,1.9528371,2.0781893,2.3423669,2.569193,2.758921,3.0690063,3.4297139,3.7283594,4.0642206,4.2586422,4.5066286,4.6880464,4.8549643
2014 Jan,58734,0.569152,1.2136536,1.6475179,1.8502516,2.0753623,2.2501341,2.5066034,2.8852698,3.3598947,3.6424202,3.9630743,4.2710525,4.5515027,4.8178095,5.0339767,5.2336294
2014 Feb,60506,0.9389671,1.3065857,1.5341265,1.8661869,2.1997698,2.5501695,3.0034747,3.4004179,3.7307329,4.0960073,4.3492465,4.6865502,4.9361839,5.1520287,5.3747281,
2014 Mar,62999,0.8348241,1.3586393,1.6514998,1.8648108,2.2716375,2.9701194,3.459477,3.8554006,4.2386822,4.5084717,4.8493907,5.1433511,5.3732376,5.6877563,,
2014 Apr,75061,0.3244997,0.9959425,1.3663566,1.8338465,2.3924617,2.8873973,3.1962981,3.6136628,3.9610202,4.2966183,4.5333066,4.7493883,5.0454219,,,
2014 May,77100,0.4340278,0.9381898,1.4715608,1.9336009,2.401285,2.7152732,3.1245549,3.4355935,3.7327149,3.9589493,4.1944119,4.4402308,,,,
2014 Jun,90197,0.2839833,0.9907555,1.8131805,2.5353753,3.0242286,3.6062065,4.025842,4.4129364,4.7844658,5.1030084,5.4378141,,,,,
2014 Jul,108344,0.3160897,1.0407197,1.7689192,2.1833998,2.612306,2.9080922,3.2250987,3.4949926,3.7241001,3.9250397,,,,,,
2014 Aug,90309,0.351151,1.0155683,1.7045794,2.3501914,2.8133797,3.2402614,3.562969,3.8366137,4.1084519,,,,,,,
2014 Sep,129260,0.2676529,0.9517901,1.6003576,1.9349761,2.2642291,2.5147505,2.7367744,2.9341919,,,,,,,,
2014 Oct,83038,0.3434798,1.051556,1.4973424,1.9711703,2.2172843,2.4592845,2.6136522,,,,,,,,,
2014 Nov,101294,0.457122,0.8953168,1.5151515,1.9728216,2.2884847,2.5047126,,,,,,,,,,
2014 Dec,79557,0.2407529,1.2423447,1.8905416,2.2183751,2.4388662,,,,,,,,,,,
2015 Jan,47248,0.9027778,1.3649852,1.718345,2.0406727,,,,,,,,,,,,
2015 Feb,92616,1.0729614,1.2029289,1.7365239,,,,,,,,,,,,,
2015 Mar,88385,0.3323895,0.913285,,,,,,,,,,,,,,
2015 Apr,110892,0.863771,,,,,,,,,,,,,,,
