Üretim Dönemi,Üretim Adet,1.ay,2.ay,3.ay,4.ay,5.ay,6.ay,7.ay,8.ay,9.ay,10.ay,11.ay,12.ay,13.ay,14.ay,15.ay,16.ay
2013 Jan,80282,0.189663348,0.877642068,1.081228421,0.791637065,0.753024113,0.685366739,0.702807357,0.604973444,0.525408559,0.357427796,0.487613055,0.33496923,0.366379644,0.271655719,0.284752783,0.36934859
2013 Feb,67378,0.657894737,1.227858293,0.918025705,0.977774435,0.672943355,0.875148879,0.631800632,0.527289945,0.496248362,0.467498206,0.329655672,0.323606329,0.325957383,0.282090048,0.300109131,0.364321608
2013 Mar,126469,0.553745928,1.327296409,1.653745154,1.24821529,1.025006347,0.792764033,0.734616747,0.644759851,0.795122411,0.555125626,0.606233507,0.532558702,0.537334264,0.548066516,0.614336458,0.720120275
2013 Apr,125281,0.697084918,0.984028087,0.948531393,0.85758787,0.757818337,0.635752653,0.487312472,0.512110571,0.408303273,0.495680499,0.375240573,0.456276992,0.419044036,0.533621221,0.618850677,0.71614454
2013 May,122771,0.56203164,0.867892453,1.054381382,0.765080267,0.649909847,0.503814424,0.525028271,0.329465044,0.366226972,0.326366453,0.33387172,0.317812427,0.422961358,0.539507353,0.681492832,0.817379228
2013 Jun,88011,0.211515864,0.763658423,0.721452461,0.669344043,0.376595781,0.393516193,0.236748652,0.25916807,0.217812585,0.259091914,0.225719578,0.315544391,0.409398094,0.424606462,0.449768566,0.422135458
2013 Jul,113469,0.150493284,0.592013806,0.575652515,0.412224785,0.571546797,0.281672509,0.327880886,0.282234819,0.253573619,0.260353386,0.36081075,0.385011119,0.561706373,0.628213059,0.606417923,0.44448618
2013 Aug,67626,0.283889283,0.631587258,0.551798296,0.596256546,0.373485036,0.440224634,0.393646409,0.352639214,0.336402648,0.430819181,0.471310242,0.568358163,0.649485509,0.644410798,0.45048318,0.460255577
2013 Sep,113777,0.21574973,0.538655819,0.688581632,0.502031633,0.497582944,0.383429817,0.418499993,0.372895657,0.444910048,0.415805531,0.486986317,0.488306638,0.633365333,0.421473419,0.319189087,0.317245962
2013 Oct,108479,0.442191544,0.882124016,0.539108612,0.647149461,0.497089287,0.42940839,0.450609365,0.493754158,0.427251259,0.497961154,0.554699909,0.572330086,0.448280102,0.330223178,0.290547307,0.250824215
2013 Nov,79171,0.553377911,0.798378677,0.67742223,0.52989329,0.458687542,0.561143462,0.546724249,0.476970028,0.503723171,0.555706614,0.42950453,0.373663797,0.296227003,0.281046357,0.261160783,0.179027742
2013 Dec,59312,0.208550574,1.055271132,0.892428091,0.69480998,0.551440329,0.623042353,0.560551209,0.504649435,0.572541202,0.5207189,0.408354247,0.380363973,0.231153686,0.27714008,0.205706293,0.196242769
2014 Jan,58734,0.569151964,1.087231353,0.953826144,0.691302801,0.668599034,0.555432827,0.584874131,0.624696159,0.665168335,0.420195511,0.371404036,0.348483883,0.306249604,0.291924814,0.252219952,0.233939921
2014 Feb,60506,0.938967136,1.148211693,0.914214152,0.841039374,0.773756235,0.699413569,0.747298777,0.624656329,0.488623257,0.421374424,0.300159268,0.370790615,0.279824455,0.263184129,0.264979237,
2014 Mar,62999,0.834824091,1.213441195,0.915627458,0.734389419,0.818149125,1.027625442,0.770319497,0.596669144,0.470015169,0.348095957,0.386124432,0.335480684,0.288905617,0.379853686,,
2014 Apr,75061,0.32449973,0.922168941,0.782320283,0.810241452,0.879909113,0.815877792,0.521698737,0.507058885,0.415694158,0.37911338,0.273935993,0.262844674,0.35128423,,,
2014 May,77100,0.434027778,0.846210449,0.965608466,0.851270826,0.784839982,0.544157659,0.49494374,0.376503399,0.346989607,0.266761817,0.296135185,0.306677659,,,,
2014 Jun,90197,0.28398334,0.932246363,1.230945559,1.139772046,0.756057138,0.677214706,0.497996052,0.441146095,0.424216802,0.387897595,0.409145608,,,,,
2014 Jul,108344,0.316089739,0.942628834,1.040934498,0.666073325,0.541791451,0.386343925,0.369098934,0.318997509,0.297778498,0.275912587,,,,,,
2014 Aug,90309,0.351150995,0.94023771,0.978887139,0.776648999,0.58051092,0.509208181,0.400854715,0.372064556,0.377482614,,,,,,,
2014 Sep,129260,0.267652927,0.854306983,0.800178811,0.477637864,0.419205838,0.331807352,0.33688872,0.309403115,,,,,,,,
2014 Oct,83038,0.343479806,0.928094001,0.74715262,0.671989881,0.430076697,0.436043343,0.37337888,,,,,,,,,
2014 Nov,101294,0.45712196,0.772333727,0.863242353,0.712242222,0.625502412,0.530843065,,,,,,,,,,
2014 Dec,79557,0.2407529,1.146106737,1.08436471,0.877687414,0.651877797,,,,,,,,,,,
2015 Jan,47248,0.902777778,1.107814045,1.055966209,0.781085075,,,,,,,,,,,,
2015 Feb,92616,1.072961373,1.072175732,1.023308698,,,,,,,,,,,,,
2015 Mar,88385,0.332389511,0.786178326,,,,,,,,,,,,,,
2015 Apr,110892,0.863770977,,,,,,,,,,,,,,,
